Dia_Experimento,Etiqueta,Gas,Muestra_ID,Tasa_Produccion,Saturado,R2,Tasa_Base,Tasa_Neta
9,D1_Tratamiento,co2,experimento1_D1_voraz_tenian_hambre_col1,335.3029411764706,True,0.8927226983137425,26.50189098998888,308.8010501864817
9,D1_Tratamiento,ch4,experimento1_D1_voraz_tenian_hambre_col1,135.4838709677419,False,0.8255150351446882,460.43956043956047,0.0
9,D1_Tratamiento,co2,experimento3_D1_mas_real_col1,253.29813664596276,True,0.946517258804941,26.50189098998888,226.79624565597388
9,D1_Tratamiento,ch4,experimento3_D1_mas_real_col1,420.34313725490193,True,0.8882441231185523,460.43956043956047,0.0
9,D1_Tratamiento,co2,generacion_co2_larvas_D1_col1,253.29813664596276,True,0.946517258804941,26.50189098998888,226.79624565597388
11,D1_Tratamiento,co2,experimento1_D1_col1,159.12216748768472,True,0.7618050704769322,34.821733821733815,124.3004336659509
11,D1_Tratamiento,ch4,experimento1_D1_col1,152.6315789473684,True,0.2861156962312413,370.0,0.0
13,D1_Tratamiento,co2,experimento1_D1_col1,143.00155728587313,False,0.9563133580890972,40.22180200222469,102.77975528364844
13,D1_Tratamiento,ch4,experimento1_D1_col1,205.3837597330367,False,0.9021614872749768,103.33704115684093,102.04671857619577
9,D4_Tratamiento,co2,experimento2_D4_col1,114.42402669632924,False,0.9968127082754058,25.82602892102336,88.59799777530587
9,D4_Tratamiento,ch4,experimento2_D4_col1,45.38375973303671,False,0.532820383606094,257.1428571428571,0.0
11,D4_Tratamiento,co2,experimento2_D4_col1,192.5482295482296,True,0.9906453718942512,27.192880978865404,165.3553485693642
11,D4_Tratamiento,ch4,experimento2_D4_col1,628.5714285714286,True,0.4285714285714286,754.2857142857143,0.0
13,D4_Tratamiento,co2,experimento2_D4_col1,56.08676307007786,False,0.8883872010389868,34.62513904338154,21.46162402669632
13,D4_Tratamiento,ch4,experimento2_D4_col1,96.01779755283648,False,0.5927861052001291,264.22466422466425,0.0
17,D4_Tratamiento,co2,experimento_D4_col1,39.96774193548387,False,0.9978693046406608,54.07430478309232,0.0
17,D4_Tratamiento,ch4,experimento_D4_col1,40.0,True,0.0082135523613963,468.2352941176471,0.0
